Distance(um),An,MgO
0,60,0.114
5,60,0.113
10,90,0.121
15,90,0.105
20,90,0.091
25,90,0.083
30,90,0.088
35,90,0.073
40,90,0.078
45,90,0.081
50,90,0.089
55,90,0.097
60,90,0.084
65,90,0.077
70,90,0.078
75,90,0.08
80,90,0.079
85,90,0.079
90,90,0.091
95,90,0.089
100,90,0.092
105,90,0.1
110,90,0.081
115,90,0.09
120,90,0.08
125,90,0.083
130,90,0.091
135,90,0.077
140,90,0.071
145,90,0.082
150,90,0.067
155,90,0.081
160,90,0.061
165,90,0.062
170,90,0.086
175,90,0.079
180,90,0.08
185,90,0.083
190,90,0.072
195,90,0.057
200,90,0.063
205,90,0.061
210,90,0.06
215,90,0.062
220,90,0.078
225,90,0.062
230,90,0.07
235,90,0.072
240,90,0.08
245,90,0.074
250,90,0.082
